,city,country,coord,id,lat,lng,cur_date,cur_temp,cur_humidity,cur_clouds,cur_wind,max_date,max_temp,max_temp_humidity,max_temp_clouds,max_temp_wind,avg_date0,avg_date1,avg_temp,avg_humidity,avg_clouds,avg_wind
538,eyrarbakki,is,"{'lon': -21.1444476, 'lat': 63.8635879}",0,63.86,-21.14,1522990800,28.4,54,20,8.05,1523037600,39.64,100,0,6.55,1522994400,1523394000,40.8344736842,96.5789473684,57.5789473684,17.2871052632
539,leningradskiy,ru,"{'lon': 178.416672, 'lat': 69.383331}",2123814,69.38,178.42,1522992846,-0.53,79,36,4.85,1523080800,5.58,93,64,9.78,1522994400,1523394000,1.54078947368,85.9736842105,25.7894736842,10.2078947368
540,jaisalmer,in,"{'lon': 70.918076, 'lat': 26.914684}",1269507,26.91,70.92,1522992913,92.26,37,8,7.31,1523005200,106.93,31,0,7.52,1522994400,1523394000,84.8681578947,35.7894736842,14.9473684211,5.42078947368
541,san patricio,mx,"{'lon': -104.699997, 'lat': 19.216669}",3985168,19.22,-104.7,1522992914,64.27,100,0,1.99,1523048400,82.61,66,0,6.31,1522994400,1523394000,70.93,80.2105263158,4.42105263158,3.25421052632
542,soyo,ao,"{'lon': 12.3521148, 'lat': -6.1410265}",0,-6.14,12.35,1522992924,75.88,95,68,2.77,1523026800,88.7,61,0,5.48,1522994400,1523394000,80.1786842105,77.7894736842,23.7894736842,4.56078947368
543,victoria point,au,"{'lon': 153.300003, 'lat': -27.58333}",2145214,-27.58,153.3,1522990800,77.77,88,75,16.11,1522994400,77.76,94,0,19.89,1522994400,1523394000,75.4892105263,99.2105263158,34.6315789474,14.5142105263
544,coromandel,br,"{'lon': -47.200279, 'lat': -18.47333}",3465487,-18.47,-47.2,1522992917,67.51,71,56,6.91,1523037600,86.08,53,0,6.62,1522994400,1523394000,71.6571052632,79.9473684211,17.4736842105,6.91868421053
545,ruwi,om,"{'lon': 58.5400988, 'lat': 23.5974705}",0,23.6,58.54,1522990200,96.8,16,0,8.05,1522994400,104.56,55,0,3.51,1522994400,1523394000,83.4402631579,64.7105263158,16.8421052632,3.41789473684
546,port hardy,ca,"{'lon': -127.419853, 'lat': 50.699619}",6111862,50.7,-127.42,1522990800,46.4,87,90,21.92,1523048400,49.04,90,92,4.34,1522994400,1523394000,45.8036842105,89.8684210526,86.7368421053,6.65289473684
547,burica,pa,"{'lon': -82.87361109999999, 'lat': 8.03}",0,8.03,-82.87,1522992675,77.77,100,56,1.05,1523080800,79.29,100,8,8.66,1522994400,1523394000,79.1602631579,100.0,38.6315789474,5.83184210526
548,alofi,nu,"{'lon': -169.918671, 'lat': -19.059521}",4036284,-19.06,-169.92,1522990800,77,94,88,11.41,1522994400,82.09,98,88,21.68,1522994400,1523394000,79.39,99.7105263158,71.4736842105,14.2473684211
549,yerbogachen,ru,"{'lon': 108.010834, 'lat': 61.276669}",2012956,61.28,108.01,1522992958,25.66,74,76,7.25,1523080800,32.76,78,88,3.56,1522994400,1523394000,25.5107894737,78.1315789474,57.8947368421,4.51447368421
550,iqaluit,ca,"{'lon': -68.514488, 'lat': 63.750591}",5983720,63.75,-68.51,1522990800,21.2,62,75,23.04,1522994400,18.32,69,8,14.92,1522994400,1523394000,9.74105263158,83.7105263158,48.6315789474,13.5865789474
551,baghdad,iq,"{'lon': 44.400879, 'lat': 33.34058}",98182,33.34,44.4,1522990800,77.23,39,75,4.7,1523005200,99.55,37,20,3.71,1522994400,1523394000,74.7526315789,59.3421052632,24.2105263158,6.82263157895
552,cayenne,gf,"{'lon': -52.334999, 'lat': 4.9386}",6690689,4.94,-52.34,1522990800,75.2,94,80,3.36,1523026800,78.84,91,92,6.26,1522994400,1523394000,78.5731578947,89.9736842105,84.3157894737,6.56184210526
554,vila velha,br,"{'lon': -40.2925, 'lat': -20.329720000000002}",3445026,-20.33,-40.29,1522987200,78.8,100,75,4.7,1523026800,77.59,100,92,8.5,1522994400,1523394000,76.145,99.3947368421,74.2105263158,10.2368421053
555,quzhou,cn,"{'lon': 118.868607, 'lat': 28.95944}",1797264,28.96,118.87,1522992973,54.64,62,92,5.41,1522994400,56.95,62,92,5.41,1522994400,1523394000,52.0252631579,68.6842105263,16.5263157895,4.01552631579
556,san cristobal,ec,"{'lon': -89.617439, 'lat': -0.9045000000000001}",3651949,-0.9,-89.62,1522992964,75.16,100,0,5.64,1523059200,75.62,100,0,4.92,1522994400,1523394000,76.5431578947,99.9473684211,20.1052631579,4.73026315789
557,agadez,ne,"{'lon': 10.25, 'lat': 19.75}",2448083,19.75,10.25,1522992965,59.41,20,0,6.24,1523016000,98.36,11,0,10.22,1522994400,1523394000,81.0905263158,14.0,3.68421052632,7.18368421053
559,kantunilkin,mx,"{'lon': -87.449997, 'lat': 21.091669}",3822702,21.09,-87.45,1522989960,77,73,20,6.93,1523037600,89.59,42,64,5.61,1522994400,1523394000,80.7589473684,65.3947368421,9.47368421053,4.99684210526
560,tomatlan,mx,"{'lon': -105.25, 'lat': 19.933331}",3981391,19.93,-105.25,1522992967,63.82,94,0,1.99,1523048400,84.95,55,0,5.12,1522994400,1523394000,69.9423684211,63.8947368421,0.631578947368,2.97947368421
562,neuquen,ar,"{'lon': -68.059097, 'lat': -38.951611}",3843123,-38.95,-68.06,1522987200,50,71,0,2.24,1523048400,70.91,20,44,15.19,1522994400,1523394000,61.3094736842,40.3421052632,19.2631578947,10.9044736842
563,naze,jp,"{'lon': 129.483337, 'lat': 28.366671}",1855540,28.37,129.48,1522990800,68,94,75,16.11,1522994400,70.21,100,92,19.17,1522994400,1523394000,64.3694736842,99.7631578947,37.4736842105,13.0113157895
564,aksarka,ru,"{'lon': 67.797501, 'lat': 66.560562}",1512019,66.56,67.8,1522992971,-3.14,89,20,6.35,1523080800,16.38,98,68,11.12,1522994400,1523394000,11.7355263158,81.3947368421,24.1052631579,8.06842105263
565,lodja,cd,"{'lon': 23.433331, 'lat': -3.48333}",211647,-3.48,23.43,1522992972,73.36,95,68,3.22,1523016000,80.82,84,64,3.18,1522994400,1523394000,74.0705263158,91.2631578947,64.6315789474,2.76421052632
566,hami,cn,"{'lon': 93.449997, 'lat': 42.799999}",1529484,42.8,93.45,1522992973,54.64,40,0,7.36,1523005200,64.27,34,0,6.06,1522994400,1523394000,50.3271052632,45.9210526316,18.2105263158,4.40105263158
567,puerto del rosario,es,"{'lon': -13.95599, 'lat': 28.51045}",6360187,28.51,-13.96,1522990800,60.8,67,40,5.82,1523026800,66.79,84,0,5.82,1522994400,1523394000,63.5686842105,90.4736842105,38.1052631579,17.6265789474
569,staunton,us,"{'lon': -79.071701, 'lat': 38.149578}",4787440,38.15,-79.07,1522990500,41.11,69,90,5.35,1523048400,60.47,43,48,13.06,1522994400,1523394000,36.1028947368,68.5,56.5263157895,6.42289473684
571,namibe,ao,"{'lon': 12.15222, 'lat': -15.196110000000001}",3347019,-15.2,12.15,1522992977,74.71,100,80,3.78,1523026800,78.93,100,56,10.4,1522994400,1523394000,78.085,100.0,32.4210526316,7.30026315789
572,villa maria,ar,"{'lon': -63.240162, 'lat': -32.407509}",3832694,-32.41,-63.24,1522992977,60.04,75,92,17.94,1522994400,60.04,75,92,17.94,1522994400,1523394000,65.9184210526,95.7368421053,76.6315789474,8.86289473684
573,paragominas,br,"{'lon': -47.48333, 'lat': -2.96667}",3393106,-2.97,-47.48,1522992979,74.08,96,88,3.22,1523037600,85.63,85,32,4.09,1522994400,1523394000,76.9292105263,95.3684210526,75.4736842105,3.58105263158
574,hendek,tr,"{'lon': 30.74806, 'lat': 40.799438}",745664,40.8,30.75,1522990200,48.2,100,0,2.33,1523016000,80.64,37,0,2.62,1522994400,1523394000,56.1060526316,77.3421052632,18.1052631579,2.78
575,lavrentiya,ru,"{'lon': -171, 'lat': 65.583328}",4031637,65.58,-171,1522992981,11.53,95,32,24.76,1523070000,25.48,100,68,13.67,1522994400,1523394000,17.4534210526,93.5263157895,35.2631578947,18.1363157895
576,ranong,th,"{'lon': 98.634758, 'lat': 9.96583}",1150965,9.97,98.63,1522990800,91.4,63,20,4.7,1522994400,93.29,93,24,3.22,1522994400,1523394000,83.4136842105,96.7631578947,17.5789473684,11.7207894737
577,marhaura,in,"{'lon': 84.866669, 'lat': 25.966669}",1263528,25.97,84.87,1522992600,87.8,55,0,11.41,1523005200,101.12,37,0,7.07,1522994400,1523394000,81.3960526316,60.3157894737,21.2631578947,9.81078947368
578,zarubino,ru,"{'lon': 33.475559, 'lat': 58.735001}",464468,58.73,33.48,1522992984,43.57,94,92,12.46,1523016000,49.57,97,92,10.11,1522994400,1523394000,36.1663157895,84.9210526316,57.5789473684,13.1734210526
582,quelimane,mz,"{'lon': 36.888329, 'lat': -17.878611}",1028434,-17.88,36.89,1522990800,78.8,88,20,4.41,1523016000,92.14,77,0,6.2,1522994400,1523394000,80.5365789474,89.3684210526,42.0,5.37657894737
583,vila franca do campo,pt,"{'lon': -25.42914, 'lat': 37.73661}",8010690,37.74,-25.43,1522990800,55.4,62,20,13.87,1523059200,60.59,99,0,24.43,1522994400,1523394000,60.5989473684,98.1842105263,39.7894736842,17.6713157895
585,juneau,us,"{'lon': -88.705101, 'lat': 43.405548}",5258190,43.41,-88.71,1522990500,32.25,91,90,4.7,1523005200,31.59,92,80,15.68,1522994400,1523394000,24.8126315789,79.9473684211,43.0526315789,11.4171052632
587,wadowice,pl,"{'lon': 19.495399, 'lat': 49.884201}",7533264,49.88,19.5,1522992600,44.6,70,75,14.99,1523026800,47.35,66,0,3.76,1522994400,1523394000,52.5389473684,68.0,5.26315789474,6.86552631579
589,esperantinopolis,br,"{'lon': -44.708328, 'lat': -4.86667}",3400739,-4.87,-44.71,1522993027,74.98,96,92,2.89,1523037600,83.11,79,56,3.27,1522994400,1523394000,76.9007894737,91.6578947368,71.4736842105,2.76368421053
590,sechura,pe,"{'lon': -80.82222, 'lat': -5.55694}",3691954,-5.56,-80.82,1522993028,70.21,86,20,8.88,1523037600,78.52,75,0,8.9,1522994400,1523394000,72.5121052632,82.9736842105,38.4210526316,7.62105263158
591,port blair,in,"{'lon': 92.75, 'lat': 11.66667}",1259385,11.67,92.75,1522993029,84.34,100,80,5.64,1523080800,84.96,100,0,10.11,1522994400,1523394000,83.7928947368,99.8421052632,38.4210526316,13.1510526316
592,nipawin,ca,"{'lon': -104.000923, 'lat': 53.366779}",6088469,53.37,-104,1522990800,3.2,59,1,13.87,1523048400,22.4,89,12,8.55,1522994400,1523394000,12.9555263158,74.5789473684,29.6842105263,5.09657894737
593,griffith,au,"{'lon': 146.022949, 'lat': -34.33448}",7839723,-34.33,146.02,1522993032,80.02,43,0,5.35,1523080800,82.71,40,0,5.57,1522994400,1523394000,68.9547368421,54.8684210526,0.947368421053,5.33868421053
595,olafsvik,is,"{'lon': -23.714239, 'lat': 64.894524}",3414079,64.89,-23.71,1522993033,34.3,100,0,11.79,1523005200,36.77,100,64,11.99,1522994400,1523394000,38.9847368421,97.4473684211,54.7368421053,16.1505263158
596,mandalgovi,mn,"{'lon': 106.270828, 'lat': 45.762501}",2030065,45.76,106.27,1522993034,31.06,77,0,14.97,1523080800,48.06,63,8,13.47,1522994400,1523394000,36.0076315789,70.9736842105,22.8421052632,10.1223684211
597,poya,nc,"{'lon': 165.163986, 'lat': -21.34487}",2138519,-21.34,165.16,1522993035,80.74,93,64,14.29,1522994400,80.74,93,64,14.29,1522994400,1523394000,76.7539473684,99.3684210526,30.3157894737,17.8231578947
599,danane,ci,"{'lon': -8.15498, 'lat': 7.25957}",2290462,7.26,-8.15,1522993036,70.84,98,56,3.11,1523026800,87.66,79,0,7.34,1522994400,1523394000,76.1547368421,94.0526315789,57.4736842105,4.78263157895
600,suyo,ph,"{'lon': 120.525398, 'lat': 16.9762}",1685161,16.98,120.53,1522992811,76.24,83,92,2.62,1522994400,76.39,83,92,2.62,1522994400,1523394000,70.3284210526,85.4736842105,27.7894736842,1.90710526316
601,davila,ph,"{'lon': 120.576302, 'lat': 18.472601}",1715335,18.47,120.58,1522990800,89.6,59,20,9.17,1522994400,88.36,84,8,7.36,1522994400,1523394000,77.6068421053,93.6315789474,25.7894736842,23.0992105263
602,bolobo,cd,"{'lon': 16.23333, 'lat': -2.16667}",2316748,-2.17,16.23,1522993049,69.94,100,92,3.06,1523026800,79.02,90,44,3.24,1522994400,1523394000,76.9363157895,88.8421052632,45.2631578947,3.19605263158
